,batting_team,bowling_team,city,current_score,balls_left,wickets_left,crr,last_five,runs_x
31184,West Indies,Bangladesh,Mirpur,79,45,8,6.32,25.0,132
28866,Pakistan,South Africa,Abu Dhabi,96,19,2,5.702970297029703,13.0,119
30208,South Africa,New Zealand,Auckland,125,40,6,9.375,59.0,165
8641,Pakistan,Australia,Dubai,72,62,10,7.448275862068965,31.0,150
48889,Afghanistan,West Indies,Nagpur,53,54,6,4.818181818181818,20.0,123
19013,Australia,England,Manchester,69,52,7,6.088235294117647,22.0,145
44773,India,Australia,Adelaide,110,41,8,8.354430379746836,38.0,188
19477,Australia,South Africa,Melbourne,119,47,8,9.780821917808218,42.0,182
33151,West Indies,New Zealand,Pallekele,82,63,7,8.631578947368421,40.0,139
1813,New Zealand,Australia,Sydney,61,44,5,4.815789473684211,23.0,117
4032,Pakistan,New Zealand,Auckland,58,82,10,9.157894736842104,48.0,201
36462,Australia,Sri Lanka,Sydney,122,13,7,6.841121495327103,43.0,137
49122,New Zealand,England,Delhi,78,66,9,8.666666666666666,46.0,153
50323,Australia,Sri Lanka,Pallekele,129,50,9,11.057142857142857,53.0,263
34200,Pakistan,Bangladesh,Mirpur,68,58,8,6.580645161290323,23.0,135
12491,Sri Lanka,Pakistan,Lahore,88,59,9,8.655737704918034,34.0,165
41766,Bangladesh,Sri Lanka,Chittagong,72,41,4,5.468354430379747,18.0,120
300,New Zealand,Bangladesh,Mount Maunganui,71,71,7,8.693877551020408,36.0,195
29451,Sri Lanka,Australia,Pallekele,76,60,8,7.6,34.0,198
36026,Australia,Pakistan,Dubai,31,85,8,5.314285714285714,23.0,89
14379,Sri Lanka,England,Southampton,110,43,5,8.571428571428571,35.0,163
13886,South Africa,England,Cape Town,113,36,7,8.071428571428571,35.0,179
35085,India,England,Mumbai,90,51,6,7.826086956521739,26.0,177
11747,England,Australia,Southampton,55,84,9,9.166666666666666,47.0,162
30718,Sri Lanka,Pakistan,Abu Dhabi,125,23,6,7.731958762886598,29.0,141
32949,South Africa,Australia,Colombo,110,15,5,6.285714285714286,33.0,146
15278,West Indies,England,London,205,5,3,10.695652173913043,58.0,208
12421,Pakistan,England,Manchester,182,5,6,9.495652173913044,50.0,190
24203,Australia,Pakistan,St Lucia,191,5,4,9.965217391304348,62.0,191
48873,Afghanistan,West Indies,Nagpur,42,70,8,5.04,23.0,123
170,Australia,Sri Lanka,Adelaide,68,77,10,9.488372093023257,48.0,187
26988,Pakistan,New Zealand,Dubai,79,54,8,7.181818181818182,30.0,153
27633,Australia,England,Adelaide,112,33,8,7.724137931034483,27.0,157
29600,Sri Lanka,Australia,Pallekele,121,35,6,8.541176470588235,41.0,157
19492,Australia,South Africa,Melbourne,144,32,6,9.818181818181818,46.0,182
17118,New Zealand,South Africa,Durban,115,30,6,7.666666666666667,39.0,153
19754,England,West Indies,Trinidad,117,16,3,6.75,24.0,121
23826,Afghanistan,India,St Lucia,98,14,4,5.547169811320755,35.0,115
17125,New Zealand,South Africa,Durban,130,24,6,8.125,49.0,153
23586,West Indies,Australia,Sydney,103,17,3,6.0,25.0,138
21695,Pakistan,South Africa,Nottingham,87,53,8,7.791044776119403,39.0,149
47703,Sri Lanka,West Indies,Bangalore,115,10,4,6.2727272727272725,42.0,122
13727,Pakistan,New Zealand,Hamilton,55,74,7,7.173913043478261,34.0,163
18289,Australia,India,Mumbai,50,87,9,9.090909090909092,38.0,166
19044,Australia,England,Manchester,112,22,7,6.857142857142857,42.0,145
43027,South Africa,Australia,Melbourne,52,57,7,4.9523809523809526,22.0,101
5064,India,South Africa,Johannesburg,150,35,7,10.588235294117647,43.0,203
25304,West Indies,India,Barbados,131,23,8,8.103092783505154,57.0,169
11157,India,New Zealand,Hamilton,98,51,7,8.521739130434783,27.0,179
38041,Pakistan,South Africa,Dubai,51,47,5,4.191780821917808,26.0,98
21697,Pakistan,South Africa,Nottingham,90,51,8,7.826086956521739,42.0,149
10689,New Zealand,England,Wellington,52,85,9,8.914285714285715,49.0,176
